씬,에셋명,타입,규격,우선순위,설명,SD프롬프트
결과,메시지_애니메이션,UI_텍스트,600x80px,P0,중앙 위 감정적 메시지 애니메이션,"text: '던질수록 기억이 무거워져도, 그만큼 진짜였던 전투' in delicate brushstroke font, floating above forest, pixel art style, soft glow, dreamy, minimalist"
결과,다음전투_버튼,UI_이미지,120x60px,P0,하단 중앙 버튼,"a rounded button with cheese texture #FFB3D1, pixel art, soft glow, '다음 전투' text in clean font, dreamy, magical forest background"
온보딩,가이드_슬라이드_1,스프라이트,100x100px,P1,첫 번째 가이드: 슬라이드 발사,"a hand dragging a sword across screen, pixel art, glowing trail #FFB3D1, cute raccoon watching, dreamy forest, minimalist instruction"
온보딩,가이드_슬라이드_2,스프라이트,100x100px,P1,두 번째 가이드: 적 피하기,"a rabbit moving in a curve, player sword path shown as dashed line, pixel art, dreamy, magical forest, instructional"
온보딩,가이드_슬라이드_3,스프라이트,100x100px,P1,세 번째 가이드: 무기 강화,"three cheese chunks stacking into a glowing sword, pixel art, soft glow, dreamy, magical forest, instructional"
온보딩,가이드_슬라이드_4,스프라이트,100x100px,P1,네 번째 가이드: 아이템 애니메이션 시청,"floating cheese icon with sparkles, player watching, pixel art, dreamy, magical forest, instructional"
온보딩,가이드_슬라이드_5,스프라이트,100x100px,P1,다섯 번째 가이드: 스킬 선택,"right-side button glowing with cheese icon, raccoon pointing, pixel art, dreamy, magical forest, instructional"
배경,마법의_숲_배경,스프라이트,1920x1080px,P0,전투 배경: 마법의 숲,"a misty magical forest with glowing moss, floating lanterns, giant mushrooms, pixel art, soft pastel palette #A8E6A3 #7D6B5E, dreamy, Studio Ghibli aesthetic, minimalist"
배경,치즈산_배경,스프라이트,1920x1080px,P1,시즌 이벤트 배경: 치즈 산,"a hill made of stacked cheese wheels, glowing pink #FFB3D1, soft mist, pixel art, dreamy, whimsical, magical forest background, Studio Ghibli style"
배경,우산숲_배경,스프라이트,1920x1080px,P1,시즌 이벤트 배경: 우산 숲,"a forest of giant floating umbrellas, each with a cat face, glowing blue #A2E5F7, pixel art, dreamy, whimsical, magical, Studio Ghibli aesthetic"
